precision,recall,threshold
0.03480430340592226,1.0,0.012297919
0.034804696319711,1.0,0.012695933
0.03482199331345441,1.0,0.012897711
0.03482238662675778,1.0,0.012899175
0.03482277994894617,1.0,0.012981867
0.03482317328001988,1.0,0.013411216
0.034823566619979214,1.0,0.014035813
0.03482474669317399,1.0,0.014300318
0.034829074312569194,1.0,0.014665985
0.03482946778584905,1.0,0.014932826
0.03482986126801934,1.0,0.015138625
0.03483025475908038,1.0,0.015207155
0.03483064825903247,1.0,0.015554941
0.0348310417678759,1.0,0.016013872
0.034831435285610994,1.0,0.016364673
0.03483182881223803,1.0,0.016460137
0.03483300944547386,1.0,0.016761614
0.03483340300767171,1.0,0.016904093
0.034833796578763024,1.0,0.016958715
0.03483419015874809,1.0,0.016960002
0.034834583747627226,1.0,0.017009139
0.03483497734540072,1.0,0.017009338
0.03483537095206888,1.0,0.017393935
0.034835764567632,1.0,0.017653598
0.0348361581920904,1.0,0.018456722
0.03483655182544435,1.0,0.018692803
0.03483694546769418,1.0,0.018723221
0.03483733911884019,1.0,0.019111281
0.03483773277888266,1.0,0.019235149
0.03483812644782191,1.0,0.019311707
0.03483852012565824,1.0,0.019347243
0.034839307508023325,1.0,0.019427622
0.03483970121255269,1.0,0.019680545
0.03484245739342706,1.0,0.01979129
0.03484285116915114,1.0,0.020347489
0.03484324495377591,1.0,0.020461606
0.03484363874730168,1.0,0.020465303
0.03484403254972875,1.0,0.020494703
0.034844426361057425,1.0,0.02051633
0.034844820181288004,1.0,0.021104308
0.03484521401042079,1.0,0.021128692
0.03484560784845608,1.0,0.021321863
0.03484600169539418,1.0,0.021445435
0.03484639555123539,1.0,0.021518646
0.03484678941598002,1.0,0.021564215
0.03484718328962836,1.0,0.021567767
0.03484757717218071,1.0,0.021602353
0.03484797106363739,1.0,0.021631045
0.034848364963998686,1.0,0.021664381
0.03485466858105434,1.0,0.021891134
0.03485506263284041,1.0,0.021932226
0.034855456693536534,1.0,0.02198674
0.03485585076314302,1.0,0.022081608
0.03485624484166017,1.0,0.022153886
0.03485663892908828,1.0,0.022238964
0.034857033025427656,1.0,0.022299333
0.0348574271306786,1.0,0.022320878
0.03485782124484143,1.0,0.022454299
0.034858215367916424,1.0,0.022523468
0.034858609499903895,1.0,0.02263188
